Using downloaded and verified file: data/train_32x32.mat
Using downloaded and verified file: data/test_32x32.mat
INFO:__main__:Epoch 104, G Loss:-1.12, D Loss:-3.06, G WD:3.67, gp:0.61, Time: 23.23.
INFO:__main__:Epoch 105, G Loss:-0.80, D Loss:-3.05, G WD:3.67, gp:0.62, Time: 23.37.
INFO:__main__:Epoch 106, G Loss:-0.60, D Loss:-3.08, G WD:3.70, gp:0.62, Time: 23.29.
INFO:__main__:Epoch 107, G Loss:-0.62, D Loss:-3.04, G WD:3.66, gp:0.62, Time: 23.36.
INFO:__main__:Epoch 108, G Loss:-0.32, D Loss:-3.06, G WD:3.68, gp:0.62, Time: 23.23.
INFO:__main__:Epoch 109, G Loss:-0.35, D Loss:-3.10, G WD:3.73, gp:0.62, Time: 23.34.
INFO:__main__:Epoch 110, G Loss:-0.35, D Loss:-3.06, G WD:3.67, gp:0.61, Time: 23.03.
INFO:__main__:Epoch 111, G Loss:0.10, D Loss:-3.07, G WD:3.71, gp:0.63, Time: 23.63.
INFO:__main__:Epoch 112, G Loss:-0.01, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.13.
INFO:__main__:Epoch 113, G Loss:0.32, D Loss:-3.11, G WD:3.73, gp:0.62, Time: 23.49.
INFO:__main__:Epoch 114, G Loss:0.29, D Loss:-3.06, G WD:3.68, gp:0.62, Time: 23.01.
INFO:__main__:Epoch 115, G Loss:0.34, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.22.
INFO:__main__:Epoch 116, G Loss:0.31, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.16.
INFO:__main__:Epoch 117, G Loss:0.64, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.10.
INFO:__main__:Epoch 118, G Loss:0.51, D Loss:-3.11, G WD:3.74, gp:0.63, Time: 23.24.
INFO:__main__:Epoch 119, G Loss:0.32, D Loss:-3.09, G WD:3.73, gp:0.64, Time: 23.34.
INFO:__main__:Epoch 120, G Loss:0.26, D Loss:-3.06, G WD:3.67, gp:0.61, Time: 23.22.
INFO:__main__:Epoch 121, G Loss:0.71, D Loss:-3.08, G WD:3.70, gp:0.63, Time: 23.47.
INFO:__main__:Epoch 122, G Loss:0.14, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.00.
INFO:__main__:Epoch 123, G Loss:0.78, D Loss:-3.10, G WD:3.72, gp:0.62, Time: 23.31.
INFO:__main__:Epoch 124, G Loss:0.48, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.36.
INFO:__main__:Epoch 125, G Loss:0.16, D Loss:-3.10, G WD:3.73, gp:0.63, Time: 23.34.
INFO:__main__:Epoch 126, G Loss:0.53, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.24.
INFO:__main__:Epoch 127, G Loss:0.37, D Loss:-3.09, G WD:3.71, gp:0.62, Time: 23.34.
INFO:__main__:Epoch 128, G Loss:0.19, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.48.
INFO:__main__:Epoch 129, G Loss:0.60, D Loss:-3.10, G WD:3.74, gp:0.64, Time: 23.28.
INFO:__main__:Epoch 130, G Loss:0.17, D Loss:-3.11, G WD:3.75, gp:0.64, Time: 23.38.
INFO:__main__:Epoch 131, G Loss:0.13, D Loss:-3.10, G WD:3.74, gp:0.64, Time: 23.25.
INFO:__main__:Epoch 132, G Loss:-0.17, D Loss:-3.09, G WD:3.70, gp:0.62, Time: 23.17.
INFO:__main__:Epoch 133, G Loss:0.44, D Loss:-3.10, G WD:3.74, gp:0.64, Time: 23.33.
INFO:__main__:Epoch 134, G Loss:0.25, D Loss:-3.12, G WD:3.76, gp:0.64, Time: 23.21.
INFO:__main__:Epoch 135, G Loss:0.30, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.33.
INFO:__main__:Epoch 136, G Loss:0.45, D Loss:-3.11, G WD:3.75, gp:0.64, Time: 23.37.
INFO:__main__:Epoch 137, G Loss:0.12, D Loss:-3.12, G WD:3.74, gp:0.63, Time: 23.18.
INFO:__main__:Epoch 138, G Loss:0.26, D Loss:-3.10, G WD:3.73, gp:0.64, Time: 23.17.
INFO:__main__:Epoch 139, G Loss:0.25, D Loss:-3.11, G WD:3.73, gp:0.63, Time: 23.44.
INFO:__main__:Epoch 140, G Loss:0.20, D Loss:-3.10, G WD:3.73, gp:0.63, Time: 23.23.
INFO:__main__:Epoch 141, G Loss:0.54, D Loss:-3.11, G WD:3.75, gp:0.64, Time: 23.23.
INFO:__main__:Epoch 142, G Loss:-0.09, D Loss:-3.12, G WD:3.75, gp:0.63, Time: 23.33.
INFO:__main__:Epoch 143, G Loss:0.35, D Loss:-3.11, G WD:3.75, gp:0.64, Time: 23.45.
INFO:__main__:Epoch 144, G Loss:0.34, D Loss:-3.11, G WD:3.74, gp:0.63, Time: 23.22.
INFO:__main__:Epoch 145, G Loss:0.19, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.29.
INFO:__main__:Epoch 146, G Loss:0.13, D Loss:-3.09, G WD:3.72, gp:0.63, Time: 23.33.
INFO:__main__:Epoch 147, G Loss:-0.23, D Loss:-3.06, G WD:3.68, gp:0.62, Time: 23.34.
INFO:__main__:Epoch 148, G Loss:0.28, D Loss:-3.09, G WD:3.71, gp:0.63, Time: 23.33.
INFO:__main__:Epoch 149, G Loss:0.08, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.17.
INFO:__main__:Epoch 150, G Loss:0.11, D Loss:-3.08, G WD:3.70, gp:0.62, Time: 23.23.
INFO:__main__:Epoch 151, G Loss:0.09, D Loss:-3.07, G WD:3.70, gp:0.63, Time: 23.19.
INFO:__main__:Epoch 152, G Loss:0.13, D Loss:-3.08, G WD:3.70, gp:0.62, Time: 23.26.
INFO:__main__:Epoch 153, G Loss:0.53, D Loss:-3.08, G WD:3.71, gp:0.63, Time: 23.20.
INFO:__main__:Epoch 154, G Loss:0.09, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.25.
INFO:__main__:Epoch 155, G Loss:0.45, D Loss:-3.06, G WD:3.69, gp:0.62, Time: 23.38.
INFO:__main__:Epoch 156, G Loss:0.42, D Loss:-3.07, G WD:3.69, gp:0.62, Time: 23.05.
